date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2021-07-20,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.0838188494492044,0.8245732255166217
2021-07-19,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08381884944920441,0.8245732255166217
2021-07-18,ID,3,40,10,53,0.06976744186046512,0.8113207547169812,0.08381884944920441,0.8245732255166216
2021-07-17,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08714110858541703,0.8245732255166217
2021-07-16,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08714110858541703,0.8245732255166216
2021-07-15,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08714110858541703,0.8245732255166217
2021-07-14,ID,4,46,3,53,0.08,0.9433962264150944,0.08714110858541703,0.8245732255166219
2021-07-13,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08714110858541703,0.8245732255166217
2021-07-12,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08714110858541703,0.8245732255166217
2021-07-11,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08714110858541704,0.8245732255166216
2021-07-10,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166217
2021-07-09,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166216
2021-07-08,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08381884944920441,0.8245732255166217
2021-07-07,ID,4,46,3,53,0.08,0.9433962264150944,0.08381884944920441,0.8245732255166219
2021-07-06,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08381884944920441,0.8245732255166217
2021-07-05,ID,3,35,10,48,0.07894736842105263,0.7916666666666666,0.08412366554349418,0.823939993500411
2021-07-04,ID,3,40,10,53,0.06976744186046512,0.8113207547169812,0.0841236655434942,0.8239399935004109
2021-07-03,ID,4,39,10,53,0.09302325581395349,0.8113207547169812,0.08744592467970681,0.823939993500411
