yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
6,18,5,29,0.25,0.8275862068965517,0.4639513937767619,0.9050619024817067
5,17,2,24,0.22727272727272727,0.9166666666666666,0.46088875124608497,0.9231489493854382
42,52,23,117,0.44680851063829785,0.8034188034188035,0.3818613956229847,0.8950659213024101
18,90,2,110,0.16666666666666666,0.9818181818181818,0.3074566337182228,0.9008718800495453
1,0,0,1,1.0,1.0,0.4203137765753656,0.9050327677055786
14,83,21,118,0.14432989690721648,0.8220338983050848,0.3891888012179039,0.8998793091622896
132,245,35,412,0.35013262599469497,0.9150485436893204,0.36656852260697653,0.896813681616773
20,67,20,107,0.22988505747126436,0.8130841121495327,0.36644221213583844,0.8931528865782269
2,30,8,40,0.0625,0.8,0.34290325109687736,0.8764862199115603
0,13,1,14,0.0,0.9285714285714286,0.2790734638628348,0.8943651663619353
3,12,1,16,0.2,0.9375,0.2838353686247396,0.8880339975307665
40,170,61,271,0.19047619047619047,0.7749077490774908,0.16818911012133825,0.8558779616846939
43,102,27,172,0.296551724137931,0.8430232558139535,0.18993508544001175,0.858876441328818
3,18,4,25,0.14285714285714285,0.84,0.16032430213464718,0.8481552208017721
6,19,101,126,0.24,0.1984126984126984,0.16176929392446657,0.7603450188393673
6,43,4,53,0.12244897959183673,0.9245283018867925,0.1703334338661575,0.778134776251766
18,160,26,204,0.10112359550561797,0.8725490196078431,0.1847796617955315,0.770131574971254
32,133,3,168,0.19393939393939394,0.9821428571428571,0.18391386092973064,0.7765091259916621
33,107,7,147,0.2357142857142857,0.9523809523809523,0.19037644596374426,0.8018624407492994
37,76,3,116,0.3274336283185841,0.9741379310344828,0.19478814656098042,0.8205931086379464
48,173,6,227,0.2171945701357466,0.973568281938326,0.2054077790293524,0.8396742917719929
25,76,1,102,0.24752475247524752,0.9901960784313726,0.20648274366867345,0.9527862032032323
11,32,17,60,0.2558139534883721,0.7166666666666667,0.2255348827967499,0.9230916838860714
2,24,13,39,0.07692307692307693,0.6666666666666666,0.22207766585638694,0.8936799191801891
36,123,4,163,0.22641509433962265,0.9754601226993865,0.2267170516278482,0.8927252428311219
23,87,30,140,0.20909090909090908,0.7857142857142857,0.22291371211022293,0.868915719021598
36,80,25,141,0.3103448275862069,0.8226950354609929,0.2204724548627405,0.8472810196539565
21,86,3,110,0.19626168224299065,0.9727272727272728,0.21748204230663246,0.847160875480949
10,52,4,66,0.16129032258064516,0.9393939393939394,0.20516283803597496,0.83990342704703
12,75,44,131,0.13793103448275862,0.6641221374045801,0.18832242103517305,0.8323970657238747
14,32,4,50,0.30434782608695654,0.92,0.2208116709157273,0.8685875419143508
22,75,2,99,0.2268041237113402,0.9797979797979798,0.22086724654025838,0.8692072357855786
7,6,17,30,0.5384615384615384,0.43333333333333335,0.26792019359320546,0.8188670997311568
12,73,11,96,0.1411764705882353,0.8854166666666666,0.2437532854506381,0.8278273327605389
23,31,1,55,0.42592592592592593,0.9818181818181818,0.2765624631196288,0.8291260340592401
0,7,55,62,0.0,0.11290322580645161,0.25352098846525095,0.7110559321181703
10,186,11,207,0.05102040816326531,0.9468599033816425,0.24110518470532336,0.7514470415434651
4,107,124,235,0.036036036036036036,0.4723404255319149,0.20277492898376326,0.6874956737623099
38,94,15,147,0.2878787878787879,0.8979591836734694,0.21149988100768433,0.6758044171730943
9,50,6,65,0.15254237288135594,0.9076923076923077,0.15636857163908685,0.743569984938662
45,178,6,229,0.20179372197309417,0.9737991266375546,0.16502817897978098,0.7561960506487889
2,10,55,67,0.16666666666666666,0.1791044776119403,0.12799114194274394,0.6415226643336114
6,7,2,15,0.46153846153846156,0.8666666666666667,0.19392520787680986,0.7492031558850708
23,60,5,88,0.27710843373493976,0.9431818181818182,0.22622349724419194,0.7486777151422387
6,49,10,65,0.10909090909090909,0.8461538461538461,0.23665990768060238,0.8020796323739432
22,118,3,143,0.15714285714285714,0.9790209790209791,0.217983346146898,0.8136598888521588
15,97,483,595,0.13392857142857142,0.18823529411764706,0.21532423165364303,0.7108803154843502
2,48,9,59,0.04,0.847457627118644,0.1922108428003439,0.6928315298387915
22,65,20,107,0.25287356321839083,0.8130841121495327,0.2045261137363045,0.7834000490584476
2,0,0,2,1.0,1.0,0.2814491906593814,0.8024476681060666
11,5,1,17,0.6875,0.9411764705882353,0.34007655726867575,0.8021611898784118
21,80,2,103,0.2079207920792079,0.9805825242718447,0.35419511198128983,0.8213652867524116
45,81,22,148,0.35714285714285715,0.8513513513513513,0.3827665405527184,0.8031267685138934
30,29,4,63,0.5084745762711864,0.9365079365079365,0.43627311267309205,0.9100228602839348
6,20,5,31,0.23076923076923078,0.8387096774193549,0.4635258599258393,0.9087731531840364
5,17,2,24,0.22727272727272727,0.9166666666666666,0.47050912540849005,0.9241142003506891
45,50,22,117,0.47368421052631576,0.811965811965812,0.39532115548367797,0.8972521734886624
18,91,2,111,0.1651376146788991,0.9819819819819819,0.32069795758066366,0.9030815322591975
1,0,0,1,1.0,1.0,0.43498367186637793,0.9072424199152308
13,86,21,120,0.13131313131313133,0.825,0.4012873334825395,0.9015474392202502
130,246,36,412,0.34574468085106386,0.912621359223301,0.3731975905532726,0.8981350710367307
19,68,20,107,0.21839080459770116,0.8130841121495327,0.36593473846283425,0.8944742759981847
2,30,8,40,0.0625,0.8,0.3423957774238732,0.8778076093315181
0,13,1,14,0.0,0.9285714285714286,0.2747266044915424,0.8944655545608919
5,10,1,16,0.3333333333333333,0.9375,0.29875456429931874,0.8881109857063231
40,170,61,271,0.19047619047619047,0.7749077490774908,0.18310830579591736,0.8559549498602503
45,99,28,172,0.3125,0.8372093023255814,0.20899214417975578,0.857699135906762
3,18,4,25,0.14285714285714285,0.84,0.1800082101806242,0.847324656017719
6,20,100,126,0.23076923076923078,0.20634920634920634,0.18177655677655702,0.7606482409033867
5,44,4,53,0.10204081632653061,0.9245283018867925,0.18742524482320425,0.7784379983157856
15,163,26,204,0.08426966292134831,0.8725490196078431,0.19946376809768257,0.7704347970352733
34,131,3,168,0.20606060606060606,0.9821428571428571,0.18128194991586438,0.7768123480556816
38,102,7,147,0.2714285714285714,0.9523809523809523,0.19284657576620454,0.8021656628133188
38,76,2,116,0.3333333333333333,0.9827586206896551,0.195822766242395,0.822958422579615
48,173,6,227,0.2171945701357466,0.973568281938326,0.20644239871076694,0.8420396057136615
22,79,1,102,0.21782178217821782,0.9901960784313726,0.2045927631977651,0.9540177302968283
11,31,18,60,0.2619047619047619,0.7,0.227430469708941,0.921942258598715
2,24,13,39,0.07692307692307693,0.6666666666666666,0.22638095742347364,0.8925304938928328
