date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-08-04,825,3863,1494,6182,0.17598122866894197,0.758330637334196,0.1773714007168717,0.7601157575688416
2022-08-03,864,4011,1303,6178,0.17723076923076922,0.7890903204920686,0.17745918871857305,0.760060276146275
2022-08-02,788,3366,1424,5578,0.18969667790081848,0.7447113660810326,0.17777326101457921,0.7595862158893135
2022-08-01,783,3401,1394,5578,0.1871414913957935,0.7500896378630334,0.1778977147009603,0.7597138196994607
2022-07-31,796,3923,1479,6198,0.1686798050434414,0.7613746369796709,0.17757664048508687,0.7600082339525144
2022-07-30,791,3918,1492,6201,0.16797621575706095,0.7593936461860991,0.17741937510294112,0.7606697833820778
2022-07-29,822,3878,1502,6202,0.1748936170212766,0.7578200580457917,0.17734247956507623,0.7616888234694648
2022-07-28,830,3870,1501,6201,0.17659574468085107,0.7579422673762296,0.17741188093977703,0.7626670946282542
2022-07-27,874,3997,1328,6199,0.17942927530281255,0.7857718986933376,0.17679376135151617,0.7640140031624945
2022-07-26,792,3364,1418,5574,0.19056785370548604,0.7456045927520631,0.17667017418559244,0.7651106523198605
2022-07-25,776,3421,1383,5580,0.18489397188467954,0.7521505376344086,0.17590878011882236,0.7661418657230881
2022-07-24,796,3954,1451,6201,0.16757894736842105,0.7660054829866151,0.17603952805013837,0.7664805087033112
2022-07-23,796,3958,1448,6202,0.16743794699200673,0.7665269267978072,0.17588423943018208,0.7669714047630761
2022-07-22,832,3912,1460,6204,0.17537942664418213,0.7646679561573179,0.1760992548975684,0.7671396250009116
2022-07-21,820,3940,1443,6203,0.1722689075630252,0.7673706271159116,0.17610453725131212,0.767169435950032
2022-07-20,878,4039,1280,6197,0.17856416514134635,0.7934484427949008,0.1764623556787462,0.7669513776012459
2022-07-19,778,3422,1379,5579,0.18523809523809523,0.7528230865746549,0.17588128127216845,0.766914807258435
2022-07-18,783,3431,1371,5585,0.18580920740389179,0.7545210384959713,0.17634020628704133,0.7670424577191115
2022-07-17,794,3975,1429,6198,0.1664919270287272,0.7694417554049694,0.17640169385838841,0.7669908746566166
2022-07-16,804,3955,1440,6199,0.16894305526371087,0.7677044684626553,0.17690254657794782,0.7666751436584895
2022-07-15,832,3911,1458,6201,0.17541640312038795,0.7648766328011611,0.17694180516607236,0.7669055955746972
