,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
20126,2021-04-13,VT,1,15,1
16417,2021-04-13,WA,7,86,2
23869,2021-04-13,WI,12,109,21
14172,2021-04-13,WV,17,38,4
23912,2021-04-13,WY,4,24,2
107,2021-04-12,AK,1,21,0
16592,2021-04-12,AL,28,64,15
20741,2021-04-12,AR,17,72,2
24707,2021-04-12,AZ,26,76,3
14131,2021-04-12,CA,84,260,37
12270,2021-04-12,CO,5,79,13
23174,2021-04-12,CT,4,28,1
18736,2021-04-12,DC,0,12,2
15049,2021-04-12,DE,1,7,2
14705,2021-04-12,FL,28,185,15
11974,2021-04-12,GA,35,104,15
22947,2021-04-12,HI,2,18,4
19266,2021-04-12,IA,1,42,79
20436,2021-04-12,ID,3,38,8
23575,2021-04-12,IL,10,156,22
14746,2021-04-12,IN,11,127,2
17171,2021-04-12,KS,14,125,3
19335,2021-04-12,KY,4,98,2
23433,2021-04-12,LA,45,171,6
12095,2021-04-12,MA,7,71,1
18077,2021-04-12,MD,2,46,5
22016,2021-04-12,ME,2,26,8
19136,2021-04-12,MI,13,141,4
16364,2021-04-12,MN,16,101,14
12700,2021-04-12,MO,24,82,19
24399,2021-04-12,MS,11,87,2
21663,2021-04-12,MT,6,59,1
17158,2021-04-12,NC,3,113,4
13473,2021-04-12,ND,11,34,2
23537,2021-04-12,NE,16,83,1
13845,2021-04-12,NH,5,22,1
22023,2021-04-12,NJ,6,63,10
12377,2021-04-12,NM,15,37,1
17146,2021-04-12,NV,0,2,59
20403,2021-04-12,NY,5,167,9
24408,2021-04-12,OH,15,175,12
14742,2021-04-12,OK,32,100,12
14564,2021-04-12,OR,1,55,7
24709,2021-04-12,PA,23,182,6
20346,2021-04-12,PR,1,1,65
17543,2021-04-12,RI,4,9,1
12093,2021-04-12,SC,19,48,2
22198,2021-04-12,SD,1,59,3
19353,2021-04-12,TN,33,76,32
16570,2021-04-12,TX,125,460,5
19397,2021-04-12,UT,0,52,1
23509,2021-04-12,VA,19,66,9
12994,2021-04-12,VI,2,0,0
15750,2021-04-12,VT,1,15,1
20329,2021-04-12,WA,8,86,2
24323,2021-04-12,WI,11,111,20
12162,2021-04-12,WV,17,38,4
15306,2021-04-12,WY,4,24,2
25046,2021-04-11,AK,1,23,0
21815,2021-04-11,AL,27,74,16
16816,2021-04-11,AR,22,86,2
14392,2021-04-11,AZ,23,100,3
22499,2021-04-11,CA,87,295,37
19220,2021-04-11,CO,7,85,13
15974,2021-04-11,CT,4,35,1
17039,2021-04-11,DC,0,12,2
23249,2021-04-11,DE,0,14,2
13140,2021-04-11,FL,30,223,15
22368,2021-04-11,GA,34,122,15
108,2021-04-11,HI,1,21,4
16776,2021-04-11,IA,2,39,85
20497,2021-04-11,ID,4,40,8
24943,2021-04-11,IL,12,167,25
12350,2021-04-11,IN,11,152,2
14034,2021-04-11,KS,12,134,4
24596,2021-04-11,KY,3,112,2
20676,2021-04-11,LA,45,171,6
18281,2021-04-11,MA,10,90,1
11582,2021-04-11,MD,4,52,5
22127,2021-04-11,ME,2,28,9
19696,2021-04-11,MI,16,143,4
20849,2021-04-11,MN,14,112,14
24297,2021-04-11,MO,25,95,20
13319,2021-04-11,MS,12,94,2
11876,2021-04-11,MT,6,59,2
15461,2021-04-11,NC,4,124,4
21750,2021-04-11,ND,12,36,2
24229,2021-04-11,NE,15,85,1
14361,2021-04-11,NH,5,24,1
18075,2021-04-11,NJ,10,78,8
22532,2021-04-11,NM,15,39,1
18416,2021-04-11,NV,0,4,59
16872,2021-04-11,NY,4,195,9
13622,2021-04-11,OH,17,204,12
23349,2021-04-11,OK,32,107,12
19288,2021-04-11,OR,4,54,7
16012,2021-04-11,PA,22,201,6
12838,2021-04-11,PR,1,0,66
14026,2021-04-11,RI,4,9,1
16855,2021-04-11,SC,21,64,2
23506,2021-04-11,SD,1,61,3
12604,2021-04-11,TN,29,81,33
17051,2021-04-11,TX,129,460,5
20770,2021-04-11,UT,0,58,1
24294,2021-04-11,VA,19,78,9
13361,2021-04-11,VI,2,0,0
12772,2021-04-11,VT,1,15,1
23274,2021-04-11,WA,7,96,2
21814,2021-04-11,WI,12,115,22
17737,2021-04-11,WV,17,42,4
11946,2021-04-11,WY,4,25,2
22498,2021-04-10,AK,1,23,0
19193,2021-04-10,AL,27,74,16
15089,2021-04-10,AR,21,87,2
24362,2021-04-10,AZ,24,99,3
22101,2021-04-10,CA,87,295,37
12829,2021-04-10,CO,6,86,13
16453,2021-04-10,CT,4,35,1
21837,2021-04-10,DC,0,12,2
24576,2021-04-10,DE,0,14,2
13232,2021-04-10,FL,30,223,15
17325,2021-04-10,GA,35,121,15
23050,2021-04-10,HI,1,21,4
20256,2021-04-10,IA,2,42,82
18329,2021-04-10,ID,4,40,8
14611,2021-04-10,IL,13,166,25
22256,2021-04-10,IN,11,152,2
19355,2021-04-10,KS,15,131,4
15736,2021-04-10,KY,4,111,2
12167,2021-04-10,LA,45,171,6
14333,2021-04-10,MA,10,90,1
11616,2021-04-10,MD,4,52,5
22978,2021-04-10,ME,1,29,9
12477,2021-04-10,MI,16,143,4
17375,2021-04-10,MN,14,112,14
21470,2021-04-10,MO,25,96,19
23899,2021-04-10,MS,12,94,2
13368,2021-04-10,MT,7,58,2
13064,2021-04-10,NC,2,125,5
23990,2021-04-10,ND,12,37,1
21324,2021-04-10,NE,16,84,1
17654,2021-04-10,NH,5,24,1
12283,2021-04-10,NJ,8,80,8
23186,2021-04-10,NM,17,37,1
18626,2021-04-10,NV,0,4,59
14933,2021-04-10,NY,4,195,9
21406,2021-04-10,OH,17,204,12
24530,2021-04-10,OK,30,108,13
13977,2021-04-10,OR,3,55,7
12867,2021-04-10,PA,23,200,6
16919,2021-04-10,PR,1,0,66
20210,2021-04-10,RI,4,9,1
25093,2021-04-10,SC,21,64,2
13703,2021-04-10,SD,1,61,3
12808,2021-04-10,TN,30,81,32
22903,2021-04-10,TX,125,464,5
19191,2021-04-10,UT,0,58,1
18026,2021-04-10,VA,20,77,9
11770,2021-04-10,VI,1,1,0
18698,2021-04-10,VT,1,15,1
19946,2021-04-10,WA,10,93,2
15357,2021-04-10,WI,12,115,22
24720,2021-04-10,WV,16,43,4
109,2021-04-10,WY,4,25,2
19645,2021-04-09,AK,2,22,0
20307,2021-04-09,AL,27,76,14
16251,2021-04-09,AR,22,86,2
12650,2021-04-09,AZ,25,98,3
21900,2021-04-09,CA,84,296,39
19056,2021-04-09,CO,6,86,13
13927,2021-04-09,CT,4,35,1
17263,2021-04-09,DC,0,12,2
21368,2021-04-09,DE,0,14,2
21983,2021-04-09,FL,30,224,15
14861,2021-04-09,GA,37,119,15
18148,2021-04-09,HI,2,20,4
20554,2021-04-09,IA,2,42,82
24545,2021-04-09,ID,4,40,8
21908,2021-04-09,IL,10,171,23
18932,2021-04-09,IN,11,152,2
20939,2021-04-09,KS,14,132,4
16772,2021-04-09,KY,4,111,2
12723,2021-04-09,LA,46,170,6
23236,2021-04-09,MA,10,90,1
20036,2021-04-09,MD,2,54,5
15838,2021-04-09,ME,2,28,9
17061,2021-04-09,MI,17,142,4
20758,2021-04-09,MN,14,112,14
22674,2021-04-09,MO,27,94,19
11737,2021-04-09,MS,12,94,2
17972,2021-04-09,MT,6,60,1
21621,2021-04-09,NC,3,125,4
110,2021-04-09,ND,12,37,1
14133,2021-04-09,NE,16,84,1
18684,2021-04-09,NH,4,25,1
15415,2021-04-09,NJ,8,79,9
23798,2021-04-09,NM,17,37,1
20643,2021-04-09,NV,0,4,59
16510,2021-04-09,NY,4,191,13
12470,2021-04-09,OH,17,204,13
22434,2021-04-09,OK,31,107,13
20046,2021-04-09,OR,3,55,7
13834,2021-04-09,PA,24,199,6
16662,2021-04-09,PR,1,0,66
18638,2021-04-09,RI,4,8,1
22334,2021-04-09,SC,21,64,2
14743,2021-04-09,SD,2,60,3
17591,2021-04-09,TN,31,78,34
21293,2021-04-09,TX,122,467,5
24968,2021-04-09,UT,0,58,1
23309,2021-04-09,VA,19,78,9
19015,2021-04-09,VI,2,0,0
15953,2021-04-09,VT,1,15,1
12805,2021-04-09,WA,8,95,2
24098,2021-04-09,WI,13,115,21
23518,2021-04-09,WV,16,43,4
18576,2021-04-09,WY,4,25,2
15333,2021-04-08,AK,1,23,0
18004,2021-04-08,AL,28,74,15
20894,2021-04-08,AR,18,90,2
24377,2021-04-08,AZ,27,96,3
14241,2021-04-08,CA,84,296,39
15358,2021-04-08,CO,6,86,13
21640,2021-04-08,CT,4,35,1
23585,2021-04-08,DC,0,12,2
13477,2021-04-08,DE,1,13,2
19951,2021-04-08,FL,28,226,15
15796,2021-04-08,GA,36,121,14
19052,2021-04-08,HI,2,20,4
14940,2021-04-08,IA,1,41,84
14246,2021-04-08,ID,3,41,8
24834,2021-04-08,IL,12,169,23
23362,2021-04-08,IN,12,151,2
19257,2021-04-08,KS,15,131,4
13366,2021-04-08,KY,4,111,2
17959,2021-04-08,LA,46,170,6
20760,2021-04-08,MA,10,90,1
24304,2021-04-08,MD,2,54,5
12612,2021-04-08,ME,2,28,9
16672,2021-04-08,MI,13,146,4
21645,2021-04-08,MN,14,112,14
24829,2021-04-08,MO,27,94,19
23216,2021-04-08,MS,11,95,2
19546,2021-04-08,MT,7,59,1
15015,2021-04-08,NC,4,124,4
12333,2021-04-08,ND,11,38,1
12029,2021-04-08,NE,16,84,1
22177,2021-04-08,NH,4,25,1
19286,2021-04-08,NJ,8,80,8
16496,2021-04-08,NM,16,38,1
18184,2021-04-08,NV,0,3,59
21347,2021-04-08,NY,5,190,13
23716,2021-04-08,OH,17,205,12
14008,2021-04-08,OK,30,110,11
17303,2021-04-08,OR,3,55,7
20558,2021-04-08,PA,25,198,6
24570,2021-04-08,PR,1,1,65
14878,2021-04-08,RI,4,9,1
18730,2021-04-08,SC,21,64,2
15907,2021-04-08,SD,1,61,3
18852,2021-04-08,TN,30,81,32
15179,2021-04-08,TX,123,466,5
14840,2021-04-08,UT,0,58,1
12120,2021-04-08,VA,20,77,9
23012,2021-04-08,VI,2,0,0
19351,2021-04-08,VT,1,15,1
14082,2021-04-08,WA,9,94,2
18238,2021-04-08,WI,12,116,21
20627,2021-04-08,WV,16,43,4
23906,2021-04-08,WY,4,25,2
13337,2021-04-07,AK,1,23,0
17459,2021-04-07,AL,30,77,10
21559,2021-04-07,AR,19,88,2
24764,2021-04-07,AZ,26,96,3
22261,2021-04-07,CA,86,299,34
18542,2021-04-07,CO,6,86,13
16607,2021-04-07,CT,4,35,1
12143,2021-04-07,DC,0,13,1
24715,2021-04-07,DE,1,14,1
21154,2021-04-07,FL,29,225,15
17463,2021-04-07,GA,36,120,15
16438,2021-04-07,HI,2,24,0
16907,2021-04-07,IA,2,70,54
20173,2021-04-07,ID,4,46,1
25108,2021-04-07,IL,11,169,23
13689,2021-04-07,IN,11,152,2
16095,2021-04-07,KS,15,131,4
19383,2021-04-07,KY,4,111,2
22641,2021-04-07,LA,46,170,6
14533,2021-04-07,MA,9,91,1
18403,2021-04-07,MD,2,58,1
15553,2021-04-07,ME,1,29,9
20204,2021-04-07,MI,4,155,4
17396,2021-04-07,MN,14,102,24
12009,2021-04-07,MO,26,96,18
22118,2021-04-07,MS,12,94,2
19267,2021-04-07,MT,6,59,1
16490,2021-04-07,NC,4,124,4
12826,2021-04-07,ND,12,37,1
15969,2021-04-07,NE,16,84,1
18781,2021-04-07,NH,5,24,1
22481,2021-04-07,NJ,8,83,5
13631,2021-04-07,NM,16,38,1
17333,2021-04-07,NV,0,3,59
21044,2021-04-07,NY,5,190,13
22089,2021-04-07,OH,17,206,11
24651,2021-04-07,OK,31,117,3
21511,2021-04-07,OR,5,58,2
18274,2021-04-07,PA,19,204,6
14037,2021-04-07,PR,9,57,1
22146,2021-04-07,RI,4,9,1
18857,2021-04-07,SC,20,65,2
20868,2021-04-07,SD,2,60,3
16736,2021-04-07,TN,33,82,28
16148,2021-04-07,TX,121,468,5
19855,2021-04-07,UT,0,58,1
23474,2021-04-07,VA,19,78,9
12450,2021-04-07,VI,2,0,0
17076,2021-04-07,VT,1,15,1
20804,2021-04-07,WA,8,95,2
22712,2021-04-07,WI,12,116,21
11706,2021-04-07,WV,16,43,4
21561,2021-04-07,WY,4,25,2
111,2021-04-06,AK,1,21,0
20769,2021-04-06,AL,28,72,15
18362,2021-04-06,AR,14,78,2
11662,2021-04-06,AZ,28,78,3
22208,2021-04-06,CA,80,264,34
19818,2021-04-06,CO,5,80,13
20881,2021-04-06,CT,4,28,1
13110,2021-04-06,DC,0,12,2
15861,2021-04-06,DE,0,9,2
18880,2021-04-06,FL,26,199,15
23397,2021-04-06,GA,36,106,15
112,2021-04-06,HI,2,18,4
16792,2021-04-06,IA,2,44,77
18705,2021-04-06,ID,3,38,8
22451,2021-04-06,IL,11,156,22
22454,2021-04-06,IN,11,124,2
21738,2021-04-06,KS,14,126,4
16785,2021-04-06,KY,3,101,2
13545,2021-04-06,LA,46,170,6
23222,2021-04-06,MA,6,76,1
19212,2021-04-06,MD,2,47,5
15885,2021-04-06,ME,2,27,8
12815,2021-04-06,MI,4,150,4
20710,2021-04-06,MN,15,102,14
20052,2021-04-06,MO,24,81,20
21972,2021-04-06,MS,12,87,2
11863,2021-04-06,MT,6,58,1
18116,2021-04-06,NC,4,112,4
20873,2021-04-06,ND,10,36,1
24476,2021-04-06,NE,16,83,1
14367,2021-04-06,NH,5,23,1
19106,2021-04-06,NJ,6,67,8
14988,2021-04-06,NM,15,37,1
21713,2021-04-06,NV,0,2,59
17648,2021-04-06,NY,5,161,13
11806,2021-04-06,OH,17,175,11
22371,2021-04-06,OK,29,100,13
18947,2021-04-06,OR,2,55,7
15270,2021-04-06,PA,24,185,6
17724,2021-04-06,PR,1,2,64
21808,2021-04-06,RI,4,9,1
19857,2021-04-06,SC,20,55,2
23067,2021-04-06,SD,2,59,3
13402,2021-04-06,TN,33,76,32
17512,2021-04-06,TX,121,466,5
20775,2021-04-06,UT,0,53,1
23910,2021-04-06,VA,20,71,9
20031,2021-04-06,VI,2,0,0
20396,2021-04-06,VT,1,15,1
17568,2021-04-06,WA,9,84,2
14694,2021-04-06,WI,11,109,22
23207,2021-04-06,WV,15,44,4
19561,2021-04-06,WY,4,24,2
14926,2021-04-05,AK,1,21,0
12197,2021-04-05,AL,29,71,14
15374,2021-04-05,AR,18,74,2
18609,2021-04-05,AZ,28,80,3
22745,2021-04-05,CA,80,264,35
13049,2021-04-05,CO,6,79,13
18171,2021-04-05,CT,4,28,1
21264,2021-04-05,DC,0,12,2
23732,2021-04-05,DE,0,9,2
14001,2021-04-05,FL,29,195,15
19675,2021-04-05,GA,36,108,15
16849,2021-04-05,HI,2,18,4
21400,2021-04-05,IA,1,46,76
17750,2021-04-05,ID,3,38,8
12257,2021-04-05,IL,11,156,22
23155,2021-04-05,IN,9,125,2
18645,2021-04-05,KS,13,127,4
14953,2021-04-05,KY,4,100,2
18246,2021-04-05,LA,46,170,6
15379,2021-04-05,MA,6,76,1
19556,2021-04-05,MD,2,47,5
22778,2021-04-05,ME,3,26,8
13904,2021-04-05,MI,3,151,4
18051,2021-04-05,MN,15,102,14
20718,2021-04-05,MO,24,81,20
23885,2021-04-05,MS,12,87,2
19085,2021-04-05,MT,6,58,1
16275,2021-04-05,NC,4,112,4
11795,2021-04-05,ND,9,37,1
22226,2021-04-05,NE,16,83,1
18550,2021-04-05,NH,5,23,1
15706,2021-04-05,NJ,7,64,10
12971,2021-04-05,NM,15,37,1
23090,2021-04-05,NV,0,2,59
24577,2021-04-05,NY,5,163,13
14888,2021-04-05,OH,17,175,11
17294,2021-04-05,OK,31,98,12
20492,2021-04-05,OR,2,55,7
20290,2021-04-05,PA,27,182,6
24290,2021-04-05,PR,1,1,65
14616,2021-04-05,RI,3,10,1
17910,2021-04-05,SC,20,55,2
15652,2021-04-05,SD,2,59,3
12919,2021-04-05,TN,31,77,33
22186,2021-04-05,TX,126,461,5
25089,2021-04-05,UT,0,53,1
14514,2021-04-05,VA,21,70,9
17166,2021-04-05,VI,2,0,0
20196,2021-04-05,VT,1,15,1
24183,2021-04-05,WA,10,83,2
15369,2021-04-05,WI,10,111,21
11753,2021-04-05,WV,15,44,4
22729,2021-04-05,WY,4,24,2
19941,2021-04-04,AK,1,23,0
19731,2021-04-04,AL,28,75,14
15943,2021-04-04,AR,18,90,2
12370,2021-04-04,AZ,28,95,3
22472,2021-04-04,CA,86,296,36
17290,2021-04-04,CO,6,86,13
20550,2021-04-04,CT,4,35,1
24491,2021-04-04,DC,0,12,2
14797,2021-04-04,DE,1,13,2
18101,2021-04-04,FL,30,222,15
21345,2021-04-04,GA,34,121,15
23722,2021-04-04,HI,1,21,4
113,2021-04-04,IA,2,39,85
12192,2021-04-04,ID,4,40,8
22289,2021-04-04,IL,11,172,23
19448,2021-04-04,IN,11,152,2
16646,2021-04-04,KS,15,131,4
16424,2021-04-04,KY,3,112,2
12810,2021-04-04,LA,46,170,6
21846,2021-04-04,MA,9,91,1
19024,2021-04-04,MD,3,53,5
20812,2021-04-04,ME,2,29,8
24115,2021-04-04,MI,3,157,4
14433,2021-04-04,MN,15,111,14
22492,2021-04-04,MO,25,96,19
14415,2021-04-04,MS,12,94,2
17730,2021-04-04,MT,6,59,2
20942,2021-04-04,NC,4,124,4
25000,2021-04-04,ND,11,38,1
15261,2021-04-04,NE,15,85,1
11660,2021-04-04,NH,5,24,1
23467,2021-04-04,NJ,8,78,10
24035,2021-04-04,NM,17,37,1
19628,2021-04-04,NV,0,4,59
15896,2021-04-04,NY,6,193,9
12035,2021-04-04,OH,17,204,11
23262,2021-04-04,OK,32,107,12
17876,2021-04-04,OR,2,61,2
21122,2021-04-04,PA,26,197,6
24226,2021-04-04,PR,1,1,65
14544,2021-04-04,RI,3,10,2
15163,2021-04-04,SC,21,64,2
18442,2021-04-04,SD,1,61,3
23391,2021-04-04,TN,31,79,32
13673,2021-04-04,TX,123,464,5
12740,2021-04-04,UT,0,58,1
22836,2021-04-04,VA,21,76,9
19124,2021-04-04,VI,2,0,0
16336,2021-04-04,VT,1,15,1
13542,2021-04-04,WA,7,96,2
23650,2021-04-04,WI,12,117,21
21794,2021-04-04,WV,15,44,4
19070,2021-04-04,WY,5,22,3
21659,2021-04-03,AK,1,23,0
24425,2021-04-03,AL,28,75,14
14269,2021-04-03,AR,17,91,2
23559,2021-04-03,AZ,27,96,3
12620,2021-04-03,CA,84,298,36
16221,2021-04-03,CO,7,85,13
21672,2021-04-03,CT,4,35,1
24407,2021-04-03,DC,0,12,2
15490,2021-04-03,DE,1,13,2
12378,2021-04-03,FL,31,221,15
22543,2021-04-03,GA,34,121,15
18755,2021-04-03,HI,1,21,4
18166,2021-04-03,IA,2,49,75
14900,2021-04-03,ID,4,40,8
23709,2021-04-03,IL,9,172,25
23024,2021-04-03,IN,10,153,2
17095,2021-04-03,KS,14,132,4
20802,2021-04-03,KY,4,111,2
24265,2021-04-03,LA,46,170,6
13320,2021-04-03,MA,9,91,1
16135,2021-04-03,MD,3,53,5
19851,2021-04-03,ME,2,29,8
25205,2021-04-03,MI,3,157,4
114,2021-04-03,MN,15,111,14
11763,2021-04-03,MO,24,96,20
22317,2021-04-03,MS,11,95,2
19216,2021-04-03,MT,6,59,2
15107,2021-04-03,NC,4,124,4
14275,2021-04-03,ND,11,38,1
24852,2021-04-03,NE,16,84,1
23500,2021-04-03,NH,3,26,1
19437,2021-04-03,NJ,9,76,11
20320,2021-04-03,NM,16,38,1
24739,2021-04-03,NV,0,4,59
13772,2021-04-03,NY,4,191,13
23908,2021-04-03,OH,17,204,11
12911,2021-04-03,OK,33,106,12
17446,2021-04-03,OR,4,59,2
21144,2021-04-03,PA,23,200,6
24731,2021-04-03,PR,1,1,65
15592,2021-04-03,RI,3,11,1
13147,2021-04-03,SC,21,64,2
21999,2021-04-03,SD,1,61,3
18732,2021-04-03,TN,32,79,32
18272,2021-04-03,TX,124,463,5
14057,2021-04-03,UT,0,58,1
12653,2021-04-03,VA,21,77,9
23151,2021-04-03,VI,2,0,0
19751,2021-04-03,VT,1,15,1
20870,2021-04-03,WA,8,95,2
24426,2021-04-03,WI,15,114,21
14298,2021-04-03,WV,16,43,4
15438,2021-04-03,WY,5,24,2
20018,2021-04-02,AK,1,23,0
21980,2021-04-02,AL,29,76,12
11867,2021-04-02,AR,19,89,2
14612,2021-04-02,AZ,26,97,3
22658,2021-04-02,CA,81,304,33
19375,2021-04-02,CO,7,85,13
16106,2021-04-02,CT,4,35,1
13868,2021-04-02,DC,0,12,2
24843,2021-04-02,DE,1,13,2
20415,2021-04-02,FL,30,222,15
16697,2021-04-02,GA,37,118,15
20152,2021-04-02,HI,1,21,4
24154,2021-04-02,IA,3,52,71
14464,2021-04-02,ID,4,40,8
22464,2021-04-02,IL,10,173,23
13618,2021-04-02,IN,12,151,2
16918,2021-04-02,KS,13,133,4
21073,2021-04-02,KY,3,112,2
25083,2021-04-02,LA,46,170,6
15321,2021-04-02,MA,9,91,1
14139,2021-04-02,MD,3,53,5
24257,2021-04-02,ME,2,29,8
20783,2021-04-02,MI,3,157,4
16097,2021-04-02,MN,16,110,14
11666,2021-04-02,MO,27,95,18
23438,2021-04-02,MS,12,94,2
19802,2021-04-02,MT,7,59,1
16412,2021-04-02,NC,4,124,4
19662,2021-04-02,ND,12,37,1
21870,2021-04-02,NE,16,84,1
115,2021-04-02,NH,5,24,1
17279,2021-04-02,NJ,8,79,9
20535,2021-04-02,NM,16,38,1
24561,2021-04-02,NV,0,4,59
14875,2021-04-02,NY,5,190,13
14511,2021-04-02,OH,18,204,11
24636,2021-04-02,OK,35,104,12
20296,2021-04-02,OR,3,55,7
17486,2021-04-02,PA,26,197,6
12178,2021-04-02,PR,1,2,64
22271,2021-04-02,RI,3,11,1
19398,2021-04-02,SC,21,64,2
16599,2021-04-02,SD,1,61,3
20027,2021-04-02,TN,32,78,33
23246,2021-04-02,TX,126,461,5
11875,2021-04-02,UT,0,58,1
23256,2021-04-02,VA,21,77,9
13503,2021-04-02,VI,1,1,0
16760,2021-04-02,VT,1,15,1
21769,2021-04-02,WA,10,93,2
22427,2021-04-02,WI,12,118,20
17659,2021-04-02,WV,16,43,4
14696,2021-04-02,WY,5,24,2
24015,2021-04-01,AK,1,23,0
20369,2021-04-01,AL,29,76,12
14934,2021-04-01,AR,15,93,2
12237,2021-04-01,AZ,26,97,3
23117,2021-04-01,CA,82,303,33
19513,2021-04-01,CO,6,86,13
20475,2021-04-01,CT,4,35,1
23667,2021-04-01,DC,0,12,2
14815,2021-04-01,DE,1,13,2
12112,2021-04-01,FL,30,222,15
17884,2021-04-01,GA,37,118,15
21143,2021-04-01,HI,2,24,0
24272,2021-04-01,IA,2,41,83
116,2021-04-01,ID,4,40,8
11550,2021-04-01,IL,10,173,23
22090,2021-04-01,IN,12,151,2
19703,2021-04-01,KS,12,134,4
17332,2021-04-01,KY,4,111,2
12436,2021-04-01,LA,46,170,6
22945,2021-04-01,MA,9,91,1
18834,2021-04-01,MD,2,54,5
16486,2021-04-01,ME,1,30,8
23739,2021-04-01,MI,3,157,4
13561,2021-04-01,MN,16,110,14
18173,2021-04-01,MO,24,96,20
23089,2021-04-01,MS,12,94,2
117,2021-04-01,MT,8,58,1
17530,2021-04-01,NC,3,125,4
20852,2021-04-01,ND,11,38,1
23884,2021-04-01,NE,16,84,1
16396,2021-04-01,NH,5,24,1
13170,2021-04-01,NJ,7,79,10
22057,2021-04-01,NM,16,38,1
21384,2021-04-01,NV,0,4,59
15503,2021-04-01,NY,4,191,13
12404,2021-04-01,OH,15,207,11
22843,2021-04-01,OK,34,105,12
18764,2021-04-01,OR,4,54,7
21274,2021-04-01,PA,26,197,6
24868,2021-04-01,PR,1,2,64
23332,2021-04-01,RI,3,10,2
12424,2021-04-01,SC,20,65,2
16878,2021-04-01,SD,1,61,3
20591,2021-04-01,TN,31,79,33
24146,2021-04-01,TX,124,463,5
13207,2021-04-01,UT,0,58,1
12745,2021-04-01,VA,21,77,9
23233,2021-04-01,VI,1,1,0
21788,2021-04-01,VT,1,15,1
17712,2021-04-01,WA,10,93,2
11887,2021-04-01,WI,13,116,21
22442,2021-04-01,WV,15,44,4
19200,2021-04-01,WY,5,24,2
118,2021-03-31,AK,2,22,0
24654,2021-03-31,AL,30,77,10
14558,2021-03-31,AR,22,86,2
13058,2021-03-31,AZ,28,95,3
23173,2021-03-31,CA,86,294,37
13893,2021-03-31,CO,5,87,13
18347,2021-03-31,CT,4,35,1
20309,2021-03-31,DC,0,13,1
23919,2021-03-31,DE,1,14,1
16508,2021-03-31,FL,28,224,15
12502,2021-03-31,GA,36,119,15
119,2021-03-31,HI,2,24,0
21513,2021-03-31,IA,2,69,55
15602,2021-03-31,ID,4,47,1
11564,2021-03-31,IL,10,172,23
22097,2021-03-31,IN,11,152,2
18835,2021-03-31,KS,14,132,4
17957,2021-03-31,KY,3,112,2
21591,2021-03-31,LA,46,170,6
24317,2021-03-31,MA,9,91,1
13373,2021-03-31,MD,1,59,1
13259,2021-03-31,ME,2,29,8
17393,2021-03-31,MI,3,157,4
21489,2021-03-31,MN,15,111,14
24648,2021-03-31,MO,27,93,20
15720,2021-03-31,MS,12,94,2
13007,2021-03-31,MT,7,59,1
22278,2021-03-31,NC,5,123,4
18560,2021-03-31,ND,12,37,1
14927,2021-03-31,NE,16,84,1
12243,2021-03-31,NH,5,24,1
23150,2021-03-31,NJ,10,82,4
19489,2021-03-31,NM,17,37,1
21153,2021-03-31,NV,0,4,59
25157,2021-03-31,NY,5,194,9
13715,2021-03-31,OH,13,209,11
20084,2021-03-31,OK,36,108,7
19862,2021-03-31,OR,5,53,7
16020,2021-03-31,PA,24,199,6
11567,2021-03-31,PR,8,58,1
22551,2021-03-31,RI,3,10,2
24087,2021-03-31,SC,22,63,2
13516,2021-03-31,SD,1,61,3
17719,2021-03-31,TN,35,79,29
21767,2021-03-31,TX,123,464,5
24952,2021-03-31,UT,0,58,1
14425,2021-03-31,VA,23,75,9
16813,2021-03-31,VI,2,0,0
20986,2021-03-31,VT,1,15,1
12289,2021-03-31,WA,10,93,2
22372,2021-03-31,WI,13,116,21
19595,2021-03-31,WV,15,44,4
20278,2021-03-31,WY,4,25,2
16554,2021-03-30,AK,2,20,0
12923,2021-03-30,AL,29,64,14
21929,2021-03-30,AR,16,71,2
19103,2021-03-30,AZ,26,77,3
14022,2021-03-30,CA,86,251,40
17271,2021-03-30,CO,4,79,13
21418,2021-03-30,CT,4,28,1
22066,2021-03-30,DC,0,12,2
120,2021-03-30,DE,0,9,2
18179,2021-03-30,FL,24,187,15
20466,2021-03-30,GA,35,105,15
24483,2021-03-30,HI,3,17,4
22519,2021-03-30,IA,1,40,81
18866,2021-03-30,ID,3,37,8
16045,2021-03-30,IL,8,157,23
24009,2021-03-30,IN,10,124,2
19532,2021-03-30,KS,12,125,4
15812,2021-03-30,KY,3,98,2
12357,2021-03-30,LA,46,170,6
23183,2021-03-30,MA,6,72,1
23749,2021-03-30,MD,1,47,5
13222,2021-03-30,ME,1,27,8
18236,2021-03-30,MI,3,152,4
18799,2021-03-30,MN,15,101,15
24633,2021-03-30,MO,27,78,19
14050,2021-03-30,MS,11,87,2
17391,2021-03-30,MT,7,57,1
21467,2021-03-30,NC,3,112,4
12611,2021-03-30,ND,11,35,1
23101,2021-03-30,NE,16,83,1
18990,2021-03-30,NH,5,22,1
16636,2021-03-30,NJ,5,62,11
13370,2021-03-30,NM,16,35,1
23897,2021-03-30,NV,0,1,59
21600,2021-03-30,NY,5,166,9
19203,2021-03-30,OH,14,174,11
14693,2021-03-30,OK,32,95,13
17580,2021-03-30,OR,2,54,7
